SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP01,G4,P04,"2021-01-01 00:00:00",8414,276,495
SP02,G3,P14,"2021-01-01 00:00:00",532,317,54
SP12,G2,P08,"2021-01-01 00:00:00",5376,178,269
SP01,G4,P15,"2021-01-01 00:00:00",259,32,22
SP19,G2,P18,"2021-01-01 00:00:00",5530,4,179
SP17,G1,P13,"2021-01-01 00:00:00",2184,63,122
SP20,G6,P04,"2021-01-01 00:00:00",1057,295,71
SP14,G5,P16,"2021-01-01 00:00:00",1036,370,37
SP10,G5,P17,"2021-01-01 00:00:00",4039,536,176
SP06,G4,P01,"2021-01-01 00:00:00",12894,115,478
SP18,G2,P01,"2021-01-01 00:00:00",4669,121,180
SP04,G4,P16,"2021-01-01 00:00:00",6377,184,246
SP22,G3,P05,"2021-01-01 00:00:00",4599,106,256
SP22,G2,P09,"2021-01-01 00:00:00",2751,228,251
SP10,G1,P06,"2021-01-01 00:00:00",15596,32,975
SP06,G1,P11,"2021-01-01 00:00:00",8561,111,330
SP25,G6,P05,"2021-01-01 00:00:00",14273,335,752
SP02,G4,P13,"2021-01-01 00:00:00",2506,99,148
SP19,G3,P10,"2021-01-01 00:00:00",2387,134,89
SP09,G2,P07,"2021-01-01 00:00:00",7553,67,280
SP22,G4,P22,"2021-01-01 00:00:00",3409,93,171
SP15,G2,P22,"2021-01-01 00:00:00",3878,24,216
SP12,G2,P04,"2021-01-01 00:00:00",3052,76,204
SP18,G2,P21,"2021-01-04 00:00:00",19229,64,1013
SP15,G6,P21,"2021-01-04 00:00:00",1988,179,95
SP12,G6,P09,"2021-01-04 00:00:00",147,9,11
SP20,G6,P12,"2021-01-04 00:00:00",2401,407,134
SP11,G2,P17,"2021-01-04 00:00:00",2814,296,94
SP06,G6,P17,"2021-01-04 00:00:00",5390,61,216
SP23,G3,P02,"2021-01-04 00:00:00",3920,16,262
SP19,G3,P19,"2021-01-04 00:00:00",7539,502,943
SP23,G1,P16,"2021-01-05 00:00:00",17248,163,664
SP18,G6,P03,"2021-01-05 00:00:00",1176,152,66
SP17,G5,P13,"2021-01-05 00:00:00",9730,361,573
SP16,G4,P13,"2021-01-05 00:00:00",2226,129,140
SP18,G6,P12,"2021-01-05 00:00:00",7063,250,643
SP07,G4,P11,"2021-01-05 00:00:00",7399,420,275
SP04,G2,P09,"2021-01-05 00:00:00",4284,230,306
SP07,G4,P04,"2021-01-05 00:00:00",4865,168,271
SP06,G4,P19,"2021-01-05 00:00:00",3780,111,315
SP13,G1,P09,"2021-01-05 00:00:00",3059,484,279
SP11,G6,P11,"2021-01-05 00:00:00",6622,57,276
SP04,G1,P20,"2021-01-06 00:00:00",644,116,34
SP08,G1,P11,"2021-01-06 00:00:00",4935,87,171
SP13,G6,P22,"2021-01-06 00:00:00",7182,29,378
SP09,G5,P09,"2021-01-06 00:00:00",539,10,77
SP20,G6,P19,"2021-01-06 00:00:00",637,79,91
SP07,G2,P15,"2021-01-06 00:00:00",1470,57,184
SP10,G2,P13,"2021-01-06 00:00:00",1442,108,61
SP11,G2,P20,"2021-01-06 00:00:00",9023,224,564
SP03,G6,P01,"2021-01-06 00:00:00",2709,27,101
SP19,G3,P21,"2021-01-07 00:00:00",5733,193,338
SP05,G3,P02,"2021-01-07 00:00:00",10451,155,1307
SP18,G1,P18,"2021-01-07 00:00:00",11228,236,388
SP15,G6,P17,"2021-01-07 00:00:00",3073,137,129
SP09,G5,P13,"2021-01-07 00:00:00",5467,109,288
SP08,G2,P20,"2021-01-07 00:00:00",4067,272,226
SP02,G1,P05,"2021-01-08 00:00:00",2814,69,149
SP24,G4,P17,"2021-01-08 00:00:00",2716,299,105
SP22,G5,P09,"2021-01-08 00:00:00",3570,61,325
SP12,G1,P13,"2021-01-08 00:00:00",9562,123,479
SP17,G4,P22,"2021-01-08 00:00:00",2373,2,104
SP08,G1,P17,"2021-01-08 00:00:00",2807,236,123
SP10,G2,P01,"2021-01-08 00:00:00",420,196,14
SP06,G2,P04,"2021-01-08 00:00:00",8239,157,515
SP05,G4,P02,"2021-01-08 00:00:00",6797,114,486
SP22,G4,P13,"2021-01-08 00:00:00",6048,56,319
SP05,G5,P04,"2021-01-08 00:00:00",364,14,21
SP19,G5,P14,"2021-01-08 00:00:00",6496,15,406
SP24,G2,P09,"2021-01-08 00:00:00",1057,45,106
SP08,G6,P04,"2021-01-08 00:00:00",357,185,17
SP08,G5,P07,"2021-01-08 00:00:00",6419,359,257
SP08,G3,P10,"2021-01-08 00:00:00",12726,179,579
SP16,G2,P13,"2021-01-11 00:00:00",6006,109,376
SP15,G6,P08,"2021-01-11 00:00:00",5124,33,285
SP23,G4,P01,"2021-01-11 00:00:00",2709,188,113
SP01,G5,P01,"2021-01-11 00:00:00",7238,67,315
SP06,G1,P14,"2021-01-12 00:00:00",6776,68,424
SP11,G6,P01,"2021-01-12 00:00:00",189,123,8
SP08,G2,P12,"2021-01-12 00:00:00",4669,217,390
SP01,G3,P19,"2021-01-12 00:00:00",490,188,35
SP08,G5,P19,"2021-01-12 00:00:00",4235,76,283
SP13,G2,P07,"2021-01-12 00:00:00",4487,161,187
SP02,G3,P15,"2021-01-12 00:00:00",2653,147,332
SP04,G4,P10,"2021-01-12 00:00:00",5306,5,253
SP16,G2,P02,"2021-01-12 00:00:00",6888,112,689
SP08,G4,P16,"2021-01-12 00:00:00",721,45,24
SP14,G1,P10,"2021-01-12 00:00:00",8610,124,345
SP10,G2,P12,"2021-01-12 00:00:00",11739,22,903
SP16,G1,P09,"2021-01-13 00:00:00",4774,206,341
SP10,G3,P02,"2021-01-13 00:00:00",6307,123,789
SP21,G3,P08,"2021-01-13 00:00:00",4340,168,217
SP09,G1,P19,"2021-01-13 00:00:00",1078,76,77
SP13,G6,P03,"2021-01-13 00:00:00",5418,287,247
SP03,G2,P21,"2021-01-13 00:00:00",6069,268,434
SP15,G2,P21,"2021-01-13 00:00:00",12334,119,686
SP08,G6,P07,"2021-01-13 00:00:00",728,234,32
